,press,vol,temp
212,108388.51,0.93,220.00
213,108475.43,0.93,220.00
214,108562.48,0.93,220.00
215,108649.69,0.93,220.00
216,108737.02,0.93,220.00
217,108824.51,0.93,220.00
218,108912.12,0.93,220.00
219,108999.88,0.93,220.00
220,109087.79,0.93,220.00
221,109175.83,0.93,220.00
222,109264.02,0.93,220.00
223,109352.34,0.93,220.00
224,109440.82,0.93,220.00
225,109529.43,0.93,220.00
226,109618.19,0.92,220.00
227,109707.09,0.92,220.00
228,109796.13,0.92,220.00
229,109885.32,0.92,220.00
230,109974.66,0.92,220.00
231,110064.13,0.92,220.00
232,110153.76,0.92,220.00
233,110243.54,0.92,220.00
234,110333.45,0.92,220.00
235,110423.52,0.92,220.00
236,110513.73,0.92,220.00
237,110604.09,0.92,220.00
238,110694.61,0.92,220.00
239,110785.27,0.91,220.00
240,110876.08,0.91,220.00
241,110967.03,0.91,220.00
242,111058.13,0.91,220.00
243,111149.39,0.91,220.00
244,111240.79,0.91,220.00
245,111332.34,0.91,220.00
246,111424.05,0.91,220.00
247,111515.91,0.91,220.00
248,111607.91,0.91,220.00
249,111700.08,0.91,220.00
250,111792.40,0.91,220.00
251,111884.86,0.91,220.00
252,111977.48,0.90,220.00
253,112070.25,0.90,220.00
254,112163.18,0.90,220.00
255,112256.26,0.90,220.00
256,112349.49,0.90,220.00
257,112442.88,0.90,220.00
258,112536.43,0.90,220.00
259,112630.13,0.90,220.00
260,112723.98,0.90,220.00
261,112817.99,0.90,220.00
262,112912.16,0.90,220.00
263,113006.49,0.90,220.00
264,113100.98,0.90,220.00
265,113195.63,0.90,220.00
266,113290.45,0.89,220.00
267,113385.40,0.89,220.00
268,113480.52,0.89,220.00
269,113575.79,0.89,220.00
270,113671.23,0.89,220.00
271,113766.83,0.89,220.00
272,113862.59,0.89,220.00
273,113958.52,0.89,220.00
274,114054.60,0.89,220.00
275,114150.85,0.89,220.00
276,114247.27,0.89,220.00
277,114343.84,0.89,220.00
278,114440.58,0.89,220.00
279,114537.48,0.88,220.00
280,114634.54,0.88,220.00
281,114731.77,0.88,220.00
282,114829.16,0.88,220.00
283,114926.73,0.88,220.00
284,115024.45,0.88,220.00
285,115122.34,0.88,220.00
286,115220.40,0.88,220.00
287,115318.62,0.88,220.00
288,115417.01,0.88,220.00
289,115515.56,0.88,220.00
290,115614.30,0.88,220.00
291,115713.20,0.88,220.00
292,115812.27,0.87,220.00
293,115911.50,0.87,220.00
294,116010.91,0.87,220.00
295,116110.48,0.87,220.00
296,116210.23,0.87,220.00
297,116310.16,0.87,220.00
298,116410.25,0.87,220.00
299,116510.52,0.87,220.00
300,116610.95,0.87,220.00
301,116711.56,0.87,220.00
302,116812.35,0.87,220.00
303,116913.31,0.87,220.00
304,117014.44,0.87,220.00
305,117115.75,0.87,220.00
306,117217.23,0.86,220.00
307,117318.89,0.86,220.00
308,117420.73,0.86,220.00
309,117522.75,0.86,220.00
310,117624.94,0.86,220.00
311,117727.31,0.86,220.00
312,117829.86,0.86,220.00
313,117932.58,0.86,220.00
314,118035.48,0.86,220.00
315,118138.57,0.86,220.00
316,118241.84,0.86,220.00
317,118345.29,0.86,220.00
318,118448.91,0.86,220.00
319,118552.73,0.85,220.00
320,118656.71,0.85,220.00
321,118760.89,0.85,220.00
322,118865.24,0.85,220.00
323,118969.79,0.85,220.00
324,119074.51,0.85,220.00
325,119179.42,0.85,220.00
326,119284.52,0.85,220.00
327,119389.80,0.85,220.00
328,119495.26,0.85,220.00
329,119600.91,0.85,220.00
330,119706.75,0.85,220.00
331,119812.77,0.85,220.00
332,119918.99,0.84,220.00
333,120025.39,0.84,220.00
334,120131.98,0.84,220.00
335,120238.76,0.84,220.00
336,120345.73,0.84,220.00
337,120452.89,0.84,220.00
338,120560.24,0.84,220.00
339,120667.79,0.84,220.00
340,120775.53,0.84,220.00
341,120883.45,0.84,220.00
342,120991.58,0.84,220.00
343,121099.90,0.84,220.00
344,121208.41,0.84,220.00
345,121317.12,0.84,220.00
346,121426.02,0.83,220.00
347,121535.12,0.83,220.00
348,121644.41,0.83,220.00
349,121753.90,0.83,220.00
350,121863.59,0.83,220.00
351,121973.47,0.83,220.00
352,122083.55,0.83,220.00
353,122193.84,0.83,220.00
354,122304.32,0.83,220.00
355,122414.99,0.83,220.00
356,122525.87,0.83,220.00
357,122636.95,0.83,220.00
358,122748.23,0.83,220.00
359,122859.71,0.82,220.00
360,122971.40,0.82,220.00
361,123083.30,0.82,220.00
362,123195.40,0.82,220.00
363,123307.70,0.82,220.00
364,123420.21,0.82,220.00
365,123532.93,0.82,220.00
366,123645.85,0.82,220.00
367,123758.98,0.82,220.00
368,123872.31,0.82,220.00
369,123985.85,0.82,220.00
370,124099.60,0.82,220.00
371,124213.55,0.82,220.00
372,124327.72,0.81,220.00
373,124442.09,0.81,220.00
374,124556.68,0.81,220.00
375,124671.47,0.81,220.00
376,124786.47,0.81,220.00
377,124901.70,0.81,220.00
378,125017.13,0.81,220.00
379,125132.78,0.81,220.00
380,125248.64,0.81,220.00
381,125364.71,0.81,220.00
382,125480.99,0.81,220.00
383,125597.51,0.81,220.00
384,125714.23,0.81,220.00
385,125831.17,0.81,220.00
386,125948.32,0.80,220.00
387,126065.70,0.80,220.00
388,126183.30,0.80,220.00
389,126301.11,0.80,220.00
390,126419.15,0.80,220.00
391,126537.41,0.80,220.00
392,126655.88,0.80,220.00
393,126774.59,0.80,220.00
394,126893.51,0.80,220.00
395,127012.65,0.80,220.00
396,127132.02,0.80,220.00
397,127251.62,0.80,220.00
398,127371.45,0.80,220.00
399,127491.49,0.79,220.00
400,127611.77,0.79,220.00
401,127732.27,0.79,220.00
402,127853.01,0.79,220.00
403,127973.96,0.79,220.00
404,128095.15,0.79,220.00
405,128216.56,0.79,220.00
406,128338.21,0.79,220.00
407,128460.09,0.79,220.00
408,128582.20,0.79,220.00
409,128704.53,0.79,220.00
410,128827.10,0.79,220.00
411,128949.91,0.79,220.00
412,129072.95,0.79,220.00
413,129196.23,0.78,220.00
414,129319.75,0.78,220.00
415,129443.49,0.78,220.00
416,129567.48,0.78,220.00
417,129691.70,0.78,220.00
418,129816.16,0.78,220.00
419,129940.86,0.78,220.00
420,130065.80,0.78,220.00
421,130190.99,0.78,220.00
422,130316.41,0.78,220.00
423,130442.07,0.78,220.00
424,130567.98,0.78,220.00
425,130694.13,0.78,220.00
426,130820.53,0.77,220.00
427,130947.16,0.77,220.00
428,131074.05,0.77,220.00
429,131201.17,0.77,220.00
430,131328.55,0.77,220.00
431,131456.17,0.77,220.00
432,131584.05,0.77,220.00
433,131712.17,0.77,220.00
434,131840.55,0.77,220.00
435,131969.17,0.77,220.00
436,132098.05,0.77,220.00
437,132227.17,0.77,220.00
438,132356.55,0.77,220.00
439,132486.19,0.76,220.00
440,132616.08,0.76,220.00
441,132746.22,0.76,220.00
